name,yomi,pref,lat,lon,elev
利尻岳,りしりだけ,北海道,45.18042,141.24138,1721
羅臼岳,らうすだけ,北海道,44.07568,145.12224,1661
斜里岳,しゃりだけ,北海道,43.76567,144.71776,1547
雌阿寒岳,めあかんだけ,北海道,43.3865,144.00909,1499
大雪山(旭岳),たいせつざん,北海道,43.66354,142.85413,2291
トムラウシ山,とむらうしやま,北海道,43.52714,142.84858,2141
十勝岳,とかちだけ,北海道,43.41784,142.6863,2077
幌尻岳,ぽろしりだけ,北海道,42.71936,142.68286,2052
羊蹄山,ようていざん,北海道,42.8266,140.81147,1898
岩木山,いわきさん,青森県,40.6559,140.30303,1625
八甲田山,はっこうださん,青森県,40.65893,140.87721,1585
八幡平,はちまんたい,岩手県・秋田県,39.95597,140.85498,1613
岩手山,いわてさん,岩手県,39.85258,141.00114,2038
早池峰山,はやちねさん,岩手県,39.55835,141.48899,1917
鳥海山,ちょうかいさん,山形県・秋田県,39.09939,140.04886,2236
月山,がっさん,山形県,38.54556,140.02695,1984
大朝日岳,おおあさひだけ,山形県,38.26057,139.92225,1871
蔵王山(熊野岳),ざおうさん,山形県・宮城県,38.14396,140.43984,1841
飯豊山,いいでさん,福島県・山形県・新潟県,37.85486,139.70711,2105
西吾妻山,にしあづまやま,福島県・山形県,37.73815,140.14078,2035
安達太良山,あだたらやま,福島県,37.62113,140.28786,1700
磐梯山,ばんだいさん,福島県,37.60098,140.07226,1816
会津駒ヶ岳,あいづこまがたけ,福島県,37.04682,139.3539,2133
那須岳(茶臼岳),なすだけ,栃木県,37.12484,139.96313,1915
越後駒ヶ岳,えちごこまがたけ,新潟県,37.12361,139.07528,2003
平ヶ岳,ひらがたけ,新潟県・群馬県,37.00312,139.17223,2141
巻機山,まきはたやま,新潟県,36.97855,138.96441,1967
燧ヶ岳,ひうちがたけ,福島県,36.95507,139.28531,2356
至仏山,しぶつさん,群馬県,36.9035,139.17322,2228
谷川岳,たにがわだけ,群馬県・新潟県,36.83718,138.93017,1977
雨飾山,あまかざりやま,新潟県・長野県,36.90211,137.96259,1963
苗場山,なえばさん,新潟県・長野県,36.84599,138.69034,2145
妙高山,みょうこうさん,新潟県,36.89275,138.1132,2454
火打山,ひうちやま,新潟県,36.92268,138.06812,2462
高妻山,たかつまやま,新潟県・長野県,36.79998,138.05192,2353
男体山,なんたいさん,栃木県,36.76515,139.4908,2486
皇海山,すかいさん,栃木県・群馬県,36.68988,139.33692,2144
武尊山,ほたかやま,群馬県,36.80521,139.1326,2158
赤城山(黒檜山),あかぎさん,群馬県,36.56034,139.1933,1828
四阿山,あずまやさん,群馬県・長野県,36.54155,138.41254,2354
浅間山,あさまやま,群馬県・長野県,36.40657,138.52293,2568
筑波山,つくばさん,茨城県,36.22541,140.1068,877
白馬岳,しろうまだけ,長野県・富山県,36.75852,137.75848,2932
鹿島槍ヶ岳,かしまやりがたけ,長野県・富山県,36.62452,137.74697,2889
剱岳,つるぎだけ,富山県,36.62334,137.6172,2999
立山,たてやま,富山県,36.57594,137.61977,3015
薬師岳,やくしだけ,富山県,36.46886,137.54479,2926
黒部五郎岳,くろべごろうだけ,富山県・岐阜県,36.39257,137.5399,2840
水晶岳,すいしょうだけ,富山県,36.42714,137.60249,2986
鷲羽岳,わしばだけ,長野県・富山県,36.40302,137.60546,2924
槍ヶ岳,やりがたけ,長野県・岐阜県,36.34207,137.64771,3180
奥穂高岳,おくほたかだけ,長野県・岐阜県,36.28922,137.64798,3190
常念岳,じょうねんだけ,長野県,36.3255,137.72764,2857
笠ヶ岳,かさがたけ,岐阜県,36.31547,137.55035,2898
焼岳,やけだけ,長野県・岐阜県,36.22695,137.5871,2455
乗鞍岳,のりくらだけ,長野県・岐阜県,36.1065,137.55359,3026
御嶽山,おんたけさん,長野県・岐阜県,35.89305,137.48055,3067
美ヶ原(王ヶ頭),うつくしがはら,長野県,36.22582,138.10742,2034
霧ヶ峰(車山),きりがみね,長野県,36.10295,138.19666,1925
蓼科山,たてしなやま,長野県,36.10373,138.29503,2531
赤岳(八ヶ岳),あかだけ,長野県・山梨県,35.97089,138.37021,2899
両神山,りょうかみさん,埼玉県,36.02338,138.84121,1723
雲取山,くもとりやま,東京都・埼玉県・山梨県,35.85558,138.94393,2017
甲武信ヶ岳,こぶしがたけ,埼玉県・山梨県・長野県,35.90913,138.72887,2475
金峰山,きんぷさん,山梨県・長野県,35.87152,138.62537,2599
瑞牆山,みずがきやま,山梨県,35.89347,138.59209,2230
大菩薩嶺,だいぼさつれい,山梨県,35.74871,138.84548,2057
丹沢山,たんざわさん,神奈川県,35.47436,139.16263,1567
富士山,ふじさん,山梨県・静岡県,35.3606,138.7274,3776
天城山(万三郎岳),あまぎさん,静岡県,34.86278,139.00175,1406
木曽駒ヶ岳,きそこまがたけ,長野県,35.78983,137.80417,2956
空木岳,うつぎだけ,長野県,35.71905,137.81712,2864
